Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)    
2766     8.85311798e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.51190055e-01    1.37408009e+00    1.37408009e+00    1.37408009e+00
2767     8.85346041e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.60958802e-01    1.38011007e+00    1.38011007e+00    1.38011007e+00
2768     8.85380284e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.70799392e-01    1.38610777e+00    1.38610777e+00    1.38610777e+00
2769     8.85448769e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.90675943e-01    1.39795115e+00    1.39795115e+00    1.39795115e+00
2770     8.85585741e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.31290003e-01    1.42101084e+00    1.42101084e+00    1.42101084e+00
2771     8.85859684e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    4.16760762e-01    1.46440537e+00    1.46440537e+00    1.46440537e+00
2772     8.86133627e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    5.07346309e-01    1.50355271e+00    1.50355271e+00    1.50355271e+00
2773     8.86380176e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    5.90547391e-01    1.53427233e+00    1.53427233e+00    1.53427233e+00
2774     8.86579211e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    6.56536127e-01    1.55546096e+00    1.55546096e+00    1.55546096e+00
2775     8.86778245e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    7.20315749e-01    1.57339247e+00    1.57339247e+00    1.57339247e+00
2776     8.86957376e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    7.75553666e-01    1.58705128e+00    1.58705128e+00    1.58705128e+00
2777     8.86988599e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    7.84938141e-01    1.58920305e+00    1.58920305e+00    1.58920305e+00
2778     8.87019822e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    7.94286501e-01    1.59131774e+00    1.59131774e+00    1.59131774e+00
2779     8.87082269e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    8.12794827e-01    1.59538673e+00    1.59538673e+00    1.59538673e+00
2780     8.87207162e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    8.49070682e-01    1.60293979e+00    1.60293979e+00    1.60293979e+00
2781     8.87332055e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    8.84379535e-01    1.60980299e+00    1.60980299e+00    1.60980299e+00
2782     8.87581840e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.52206715e-01    1.62185086e+00    1.62185086e+00    1.62185086e+00
2783     8.87793709e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.00692182e+00    1.63064356e+00    1.63064356e+00    1.63064356e+00
2784     8.88005577e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.05918964e+00    1.63842231e+00    1.63842231e+00    1.63842231e+00
2785     8.88196259e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.10424972e+00    1.64471709e+00    1.64471709e+00    1.64471709e+00
2786     8.88386941e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.14753270e+00    1.65045691e+00    1.65045691e+00    1.65045691e+00
2787     8.88577623e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.18912854e+00    1.65572699e+00    1.65572699e+00    1.65572699e+00
2788     8.88768304e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.22949048e+00    1.66066585e+00    1.66066585e+00    1.66066585e+00
2789     8.88939918e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.26597382e+00    1.66513395e+00    1.66513395e+00    1.66513395e+00
2790     8.89077566e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.29627894e+00    1.66895768e+00    1.66895768e+00    1.66895768e+00
2791     8.89352863e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.35519118e+00    1.67613797e+00    1.67613797e+00    1.67613797e+00
2792     8.89588260e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.38705380e+00    1.67849421e+00    1.67849421e+00    1.67849421e+00
2793     8.89823657e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.37538280e+00    1.67133370e+00    1.67133370e+00    1.67133370e+00
2794     8.90059053e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.31745181e+00    1.65332589e+00    1.65332589e+00    1.65332589e+00
2795     8.90294450e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.23486800e+00    1.62776183e+00    1.62776183e+00    1.62776183e+00
2796     8.90765243e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.07242352e+00    1.56252858e+00    1.56252858e+00    1.56252858e+00
2797     8.91236037e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.45469312e-01    1.48483859e+00    1.48483859e+00    1.48483859e+00
